,name,track_id,album,artist,artist_id,length,popularity,type,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,key,release_year,release_month,followers,genre
411,Seagulls! (Stop It Now),spotify:track:471sXvN5C5vfMSBdKrGpo7,Seagulls! (Stop It Now),Bad Lip Reading,spotify:artist:2WImpqiHxgOKw0sXNOGtWl,3.208066666666667,55,track,0,0.0534,0.935,0.686,2.97e-05,0.0851,-5.797,0.115,120.008,4,0.746,10,2016,11,114961,antiviral pop
412,Sweet Dreams (Are Made of This) - Remastered,spotify:track:1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made Of This),Eurythmics,spotify:artist:0NKDgy9j66h3DLnN8qu1bB,3.61555,82,track,0,0.225,0.692,0.711,0.0,0.12,-7.498,0.0317,125.135,4,0.875,0,1983,1,1545184,dance rock
413,Geoff's Extended Theme,spotify:track:78zRQlnB6QlrMHRoX015DC,Filfy Animals - Volume 1,Hat Films,spotify:artist:1PWZm0w6ndfQLUAInuYWeG,0.9090833333333334,7,track,0,0.759,0.665,0.287,0.0,0.182,-14.379,0.0291,109.931,4,0.913,9,2012,6,9010,antiviral pop
414,Sad for Good,spotify:track:4F32lmQfGhIXaEENa5x2Z0,Sad for Good,Hat Films,spotify:artist:1PWZm0w6ndfQLUAInuYWeG,3.9707333333333334,15,track,0,0.0437,0.525,0.484,2.66e-06,0.157,-10.946,0.0479,78.96,4,0.252,5,2013,11,9010,antiviral pop
415,Flat!,spotify:track:4HwMCwpjAKQGnmdXwiKPON,Flat!,Hat Films,spotify:artist:1PWZm0w6ndfQLUAInuYWeG,3.03545,18,track,1,0.184,0.677,0.669,0.0,0.222,-7.231,0.257,141.087,4,0.585,9,2016,6,9010,antiviral pop
416,Filfy Animals - Geoff's Love Song,spotify:track:7nDA6GCNt5rV16fSA2RBO9,Filfy Animals - Volume 1,Hat Films,spotify:artist:1PWZm0w6ndfQLUAInuYWeG,1.2895666666666667,2,track,0,0.839,0.721,0.407,4.56e-05,0.105,-5.392,0.0356,109.046,4,0.686,4,2012,6,9010,antiviral pop
417,Filfy Animals - Main Theme,spotify:track:5NFq0ThDegOltIYmo10Jhx,Filfy Animals - Volume 1,Hat Films,spotify:artist:1PWZm0w6ndfQLUAInuYWeG,1.8181666666666667,4,track,0,0.889,0.976,0.491,0.88,0.081,-8.951,0.0506,110.009,4,0.704,4,2012,6,9010,antiviral pop
418,Ghaststyle,spotify:track:53SQXoWlsf6qr5mJKZHHtB,Filfy Animals - Volume 1,Hat Films,spotify:artist:1PWZm0w6ndfQLUAInuYWeG,2.5135,3,track,0,0.421,0.669,0.802,0.776,0.387,-8.571,0.0722,147.97,4,0.86,6,2012,6,9010,antiviral pop
419,Shipping & Receiving,spotify:track:6bGKODF9U8Usq99iYCRPZs,Shipping & Receiving,Hat Films,spotify:artist:1PWZm0w6ndfQLUAInuYWeG,4.034766666666667,15,track,1,0.0624,0.795,0.797,0.000137,0.0662,-4.114,0.07,115.054,4,0.48,7,2017,2,9010,antiviral pop
420,Superman,spotify:track:3ffJKEoVfbiSlDHztViu6O,Scrubs,Various Artists,spotify:artist:2jI9rHOuUAPJEULovOfgyB,3.6468833333333333,32,track,0,0.07,0.535,0.79,6.12e-06,0.129,-5.654,0.0375,161.965,4,0.829,6,2002,1,10737,
